Traditional	Study Order	Variants	Simplified	Pinyin	Keyword	Meaning	Examples	Examples Pinyin	Sound	Frequency	Zhuyin	Vocabulary Zhuyin	Stroke Order	Etymology	Gif
煥	2681		焕	huàn	glowing	shining, brilliant, lustrous			[sound:mp3/huan4.mp3]	2731	ㄏㄨㄢ`			As per 奐# (draw out of/away from) + 火 fire | *bright*/*brilliant* flame(s) drawn away from a fire's fuel source | *shining*. 	images-large/7115-large.gif
妒	2682		妒	dù	jealous of	jealous, envious	嫉妒	jídù	[sound:mp3/du4.mp3]	2732	ㄉㄨ`	ㄐㄧˊㄉㄨ`	['㇛', '㇒', '㇐', '㇔', '㇕', '㇐', '㇓']		images-large/5992-large.gif
鷗	2683		鸥	ōu	gull	seagull, tern; Larus species (various)			[sound:mp3/ou1.mp3]	2733	ㄡ		['㇐', '㇑', '㇕', '㇐', '㇑', '㇕', '㇐', '㇑', '㇕', '㇐', '㇗', '㇒', '㇑', '㇕', '㇐', '㇐', '㇐', '㇆', '㇔', '㇔', '㇔', '㇔']	鳥 bird + 區# for the sound alone to simulate the calling of a *seagull*. 	images-large/9e25-large.gif
溯	2684		溯	sù	go upstream	go upstream, go against current; formerly			[sound:mp3/su4.mp3]	2734	ㄙㄨ`		['㇔', '㇔', '㇀', '㇔', '㇒', '㇐', '㇗', '㇑', '㇓', '㇓', '㇆', '㇐', '㇐']	As per 朔# (conjunction of beginning and end points) + 水 water | *go upstream*/*go against the current* and return to one's starting point. Compare 泝. Also, *retrace the past*; *return to a source/origin*. 	images-large/6eaf-large.gif
蠅	2685		蝇	yíng	flies	flies	蒼蠅	cāngying	[sound:mp3/ying2.mp3]	2735	ㄧㄥˊ	ㄘㄤ ㄧㄥ˙			images-large/8747-large.gif
潰	2686		溃	kuì	burst	flooding river; militarily defeat	崩潰	bēngkuì	[sound:mp3/kui4.mp3]	2738	ㄎㄨㄟ`	ㄅㄥ ㄎㄨㄟ`	['㇔', '㇔', '㇀', '㇑', '㇕', '㇐', '㇑', '㇐', '㇑', '㇕', '㇐', '㇐', '㇐', '㇒', '㇔']	As per 貴# (compress) + 水 water | structure compressed in collapsing due to overflowing water (compare 濊) | *collapse*; *rout/be routed*; *crush* | *sore* (← inflammation bursting through the wall of an internal organ ← water bursting through a structure). 	images-large/6e83-large.gif
攪	2687		搅	jiǎo	stir	disturb, agitate, stir up	攪和	jiǎohuo	[sound:mp3/jiao3.mp3]	2739	ㄐㄧㄠˇ	ㄐㄧㄠˇㄏㄨㄛ˙		As per 覺# (be stimulated) + 手 hand/action indicator | stimulate by mixing | *mix*; *turbidity* | *confusion*; *disturbance*. Compare 淆. 	images-large/6405-large.gif
吼	2688		吼	hǒu	roar	roar, shout; bark, howl			[sound:mp3/hou3.mp3]	2740	ㄏㄡˇ		['㇑', '㇕', '㇐', '㇖', '㇚', '㇐', '㇟']	口 mouth + 孔# for the sound alone to simulate roaring/bellowing | *roar*; *bellow*; *shout*; *howl*; *bark*. 	images-large/543c-large.gif
竭	2689		竭	jié	use up	put forth great effort; exhaust	竭力	jiélì	[sound:mp3/jie2.mp3]	2741	ㄐㄧㄝˊ	ㄐㄧㄝˊㄌㄧ`	['㇔', '㇐', '㇔', '㇒', '㇐', '㇑', '㇕', '㇐', '㇐', '㇒', '㇆', '㇒', '㇏', '㇗']	As per 曷# (cut off) + 立 stand | stand exhausted, one's breath cut off (compare 歇) | *exhaust*; *end*. 	images-large/7aed-large.gif
瞄	2690		瞄	miáo	aim	take aim at; look at			[sound:mp3/miao2.mp3]	2743	ㄇㄧㄠˊ		['㇑', '㇕', '㇐', '㇐', '㇐', '㇐', '㇑', '㇑', '㇑', '㇕', '㇐', '㇑', '㇐']		images-large/7784-large.gif
唾	2691		唾	tuò	saliva	spit, spit on; saliva			[sound:mp3/tuo4.mp3]	2744	ㄊㄨㄛ`			垂# hang + 口 mouth | trail of drool/*spittle* hanging from the lower lip | *saliva*; *sputum*. 	images-large/553e-large.gif
棲	2692		栖	qī	perch	perch; roost; stay			[sound:mp3/qi1.mp3]	2745	ㄑㄧ			As per 妻# (aligned) + 木 tree/wood | birds aligned in roosting in a tree (compare 栖) | *roost*; *dwelling*; *dwell*; *live* (v.). 	images-large/6816-large.gif
倡	2693		倡	chàng	start	guide, leader; lead, introduce	倡導 提倡	chàngdǎo tíchàng	[sound:mp3/chang4.mp3]	2746	ㄔㄤ`	ㄔㄤ`ㄉㄠˇ  ㄊㄧˊㄔㄤ`	['㇒', '㇑', '㇑', '㇕', '㇐', '㇐', '㇑', '㇕', '㇐', '㇐']	As per 昌# (chant; recite) + 人 person | *musician* or *actor* entertaining by reciting or singing (compare 娼) | *recite*, *sing*; *proclaim*. 	images-large/5021-large.gif
掏	2694		掏	tāo	draw out	take out; pull out; clean out			[sound:mp3/tao1.mp3]	2747	ㄊㄠ		['㇐', '㇚', '㇀', '㇒', '㇆', '㇒', '㇐', '㇐', '㇑', '㇗', '㇑']	As per 匋# (knead) + 手 hand | knead then take/*scoop* (out) | *take/pull out*; *remove* (from a holder/container). 	images-large/638f-large.gif
俺	2695		俺	ǎn	we (exclusive)	personal pronoun, I			[sound:mp3/an3.mp3]	2748	ㄢˇ		['㇒', '㇑', '㇐', '㇓', '㇏', '㇑', '㇕', '㇐', '㇐', '㇟']	奄# cover/conceal + 人 person | cover/conceal oneself. *I* and *me* are borrowed meanings. 	images-large/4ffa-large.gif
浸	2696		浸	jìn	immerse	soak, immerse, dip, percolate			[sound:mp3/jin4.mp3]	2749	ㄐㄧㄣ`		['㇔', '㇔', '㇀', '㇕', '㇐', '㇐', '㇔', '㇖', '㇇', '㇏']	As per the right-hand element# of 侵 (penetrate) + 水 water | water that penetrates thoroughly | *immersion*; *soak*; *flood*; *steep*; *moisten*; *wet*. 	images-large/6d78-large.gif
酌	2697		酌	zhuó	pour wine	serve wine; feast; deliberate	酌量	zhuóliáng	[sound:mp3/zhuo2.mp3]	2750	ㄓㄨㄛˊ	ㄓㄨㄛˊㄌㄧㄤˊ	['㇐', '㇑', '㇕', '㇓', '㇄', '㇐', '㇐', '㇒', '㇆', '㇔']	勺# ladle + 酉 alcohol container | ladle (*pour out/serve*) alcohol | *drink*; *take into consideration* (← show consideration toward someone/something, as in pouring a guest a drink). 	images-large/914c-large.gif
繭	2698		茧	jiǎn	cocoon	cocoon; callus, blister			[sound:mp3/jian3.mp3]	2751	ㄐㄧㄢˇ			A variant form of 巾# cloth + an element combining 糸 thread and 虫 insect | *silkworm cocoon*, from which silk is produced. Compare 絹. 	images-large/8327-large.gif
芙	2699		芙	fú	hibiscus (A)	hibiscus			[sound:mp3/fu2.mp3]	2752	ㄈㄨˊ		['㇐', '㇑', '㇑', '㇐', '㇐', '㇓', '㇏']	As per 夫# (stretch out/over) + 艸 grass/plant | *water lily* stretching over the surface of a pond | *lotus*. Compare 蓮. 	images-large/8299-large.gif
楣	2700		楣	méi		crossbeam above or under gate	倒楣	dǎoméi	[sound:mp3/mei2.mp3]	2753	ㄇㄟˊ	ㄉㄠˇㄇㄟˊ		As per 眉# (long, curved eyebrow) + 木 tree/wood | *crossbeam* curving over/under a gate in the shape of an eyebrow. 	images-large/6963-large.gif
押	2701		押	yā	pawn	mortgage, pledge; deposit; to pawn; to arrest, detain, guard	押金 抵押	yājīn dǐyā	[sound:mp3/ya1.mp3]	2754	ㄧㄚ	ㄧㄚ ㄐㄧㄣ   ㄉㄧˇㄧㄚ 	['㇐', '㇚', '㇀', '㇑', '㇕', '㇐', '㇐', '㇑']	As per 甲# (press down on) + 手 hand/action indicator | *press*/*push* down on | *thrust*; *shove*; *hold down*; *stop*; *stamp* (papers/a passport etc.); (a) *weight*; *pressure* | *seize*; *catch*; *arrest* | *control* (← restrain and control). 押 was devised to replace 甲 after the latter came to refer to a husk or shell. 	images-large/62bc-large.gif
苛	2702		苛	kē	exacting	small, petty; harsh, rigorous	苛責	kēzé	[sound:mp3/ke1.mp3]	2756	ㄎㄜ	ㄎㄜ ㄗㄜˊ	['㇐', '㇑', '㇑', '㇐', '㇚', '㇑', '㇕', '㇐']	As per 可# (shout/laugh/sing in a loud voice) + 艸 grass/plant | plant that irritates the throat as does shouting | *torment*; *harsh* | *scold*. 	images-large/82db-large.gif
鴿	2703		鸽	gē	pigeon	pigeon, dove; Columba species (various)	鴿子	gēzi	[sound:mp3/ge1.mp3]	2757	ㄍㄜ	ㄍㄜ ㄗ˙	['㇓', '㇏', '㇐', '㇑', '㇕', '㇐', '㇒', '㇑', '㇕', '㇐', '㇐', '㇐', '㇆', '㇔', '㇔', '㇔', '㇔']	鳥 bird + 合# for the sound alone to simulate cooing | *dove*; *pigeon*. 	images-large/9e3d-large.gif
凸	2704		凸	tū	convex	protrude, bulge out, convex			[sound:mp3/tu1.mp3]	2758	ㄊㄨ		['㇑', '㇐', '㇑', '㇎', '㇐']	"A depiction of an object with a protrusion rising from its center | *protrude*; *convex*. For ""protrusion,"" compare 出 and 突. "	images-large/51f8-large.gif
匠	2705		匠	jiàng	artisan	craftsman, artisan; workman			[sound:mp3/jiang4.mp3]	2759	ㄐㄧㄤ`		['㇐', '㇒', '㇓', '㇐', '㇑', '㇗']	斤 ax + 匚# enclosure | create a finely crafted enclosure | *craftsman*; *master*. 	images-large/5320-large.gif
悼	2706		悼	dào	mourn	grieve, mourn, lament; grieved			[sound:mp3/dao4.mp3]	2760	ㄉㄠ`		['㇔', '㇔', '㇑', '㇑', '㇐', '㇑', '㇕', '㇐', '㇐', '㇐', '㇑']	As per 卓# (rise above) + 心 heart/emotions | feelings of grief/lamentation that rise above (= overcome) the heart | *grieve*; *lament*; *mourn*. 	images-large/60bc-large.gif
蛛	2707		蛛	zhū	spider (back end)	spider			[sound:mp3/zhu1.mp3]	2761	ㄓㄨ			朱# + 虫 insect | *spider*. The conceptual influence lent here by 朱 is uncertain.  	images-large/86db-large.gif
繩	2708		绳	shéng	rope	rope, string, cord; measure, restrain	繩子	shéngzi	[sound:mp3/sheng2.mp3]	2762	ㄕㄥˊ	ㄕㄥˊㄗ˙		糸 thread + 黽 frog/amphibious creature. It is likely that 黽 has replaced an obsolete element. The adoption of 黽 may have been intended to indicate a rope-like pattern on the back of a particular type of frog | *rope*. 	images-large/7ef3-large.gif
掠	2709		掠	lüè	pillage	rob, ransack, plunder; pass by			[sound:mp3/luue4.mp3]	2763	undefined`		['㇐', '㇚', '㇀', '㇔', '㇐', '㇑', '㇕', '㇐', '㇚', '㇒', '㇔']	京 here an abbreviated form# of 涼 (flow) + 手 hand/action indicator | fluid motion | *graze* against; * brush by/past/over*; *snatch* | *steal* | *plunder*. Also, *blurry* as well as *husky* (voice) (← indistinct sensations ← graze). 	images-large/63a0-large.gif
瞞	2710		瞒	mán	dissemble	deceive, lie; eyes half-closed			[sound:mp3/man2.mp3]	2765	ㄇㄢˊ			As per 㒼# as described in 滿 (cover completely) + 目 eye | figuratively cover another person's eyes (compare 冒 and 曼) in deceiving him | *deceive*; *cheat*. Compare 謾. 	images-large/7792-large.gif
蔥	2711		葱	cōng	onion	scallions, onions, leeks			[sound:mp3/cong1.mp3]	2767	ㄘㄨㄥ		['㇐', '㇑', '㇑', '㇒', '㇑', '㇕', '㇒', '㇇', '㇔', '㇐', '㇔', '㇃', '㇔', '㇔']		images-large/8471-large.gif
墳	2712		坟	fén	tomb	grave, mound; bulge; bulging	墳墓	fénmù	[sound:mp3/fen2.mp3]	2768	ㄈㄣˊ	ㄈㄣˊㄇㄨ`	['㇐', '㇑', '㇐', '㇐', '㇑', '㇐', '㇓', '㇑', '㇑', '㇕', '㇐', '㇐', '㇐', '㇒', '㇔']	As per 賁# (swell) + 土 earth | swelling/bulging earth of a *burial mound* or *tumulus*. Compare 墦. 	images-large/575f-large.gif
啤	2713		啤	pí	beer	beer	啤酒	píjiǔ	[sound:mp3/pi2.mp3]	2770	ㄆㄧˊ	ㄆㄧˊㄐㄧㄡˇ	['㇑', '㇕', '㇐', '㇒', '㇑', '㇕', '㇐', '㇐', '㇓', '㇐', '㇑']		images-large/5564-large.gif
滔	2714		滔	tāo	surging	overflow; rushing water, a torrent			[sound:mp3/tao1.mp3]	2775	ㄊㄠ		['㇔', '㇔', '㇀', '㇒', '㇔', '㇔', '㇒', '㇒', '㇑', '㇐', '㇕', '㇐', '㇐']	舀# dip + 水 water | dip into liquid, causing an *overflow*. 	images-large/6ed4-large.gif
贖	2715		赎	shú	redeem	buy, redeem; ransom; atone for			[sound:mp3/shu2.mp3]	2778	ㄕㄨˊ		['㇑', '㇕', '㇐', '㇐', '㇐', '㇒', '㇔', '㇐', '㇑', '㇐', '㇑', '㇕', '㇑', '㇑', '㇐', '㇑', '㇕', '㇐', '㇐', '㇐', '㇒', '㇔']	As per �� # as described in 續 (pass along commodities) + 貝 commodities (for emphasis/clarification) | *pay for* | *redemption*; *expiation*; *atonement*. 	images-large/8d4e-large.gif
蟬	2716		蝉	chán	cicada	cicada; continuous			[sound:mp3/chan2.mp3]	2779	ㄔㄢˊ		['㇑', '㇕', '㇐', '㇑', '㇀', '㇔', '㇑', '㇕', '㇐', '㇑', '㇕', '㇐', '㇑', '㇕', '㇐', '㇐', '㇐', '㇑']	As per 單# (fanning motion) + 虫 insect | fanning/beating motion of *cicada* wings. Compare 螗. Note a variant form 蝉. 	images-large/8749-large.gif
蕉	2717		蕉	jiāo	banana	banana; plantain	香蕉	xiāngjiāo	[sound:mp3/jiao1.mp3]	2780	ㄐㄧㄠ	ㄒㄧㄤ ㄐㄧㄠ 	['㇐', '㇑', '㇑', '㇒', '㇑', '㇔', '㇐', '㇐', '㇐', '㇑', '㇐', '㇔', '㇔', '㇔', '㇔']	焦# scorch + 艸 grass/plant | vegetation of a dark hue, as if scorched. The compound 芭蕉 refers to a *banana/plantain* plant. 	images-large/8549-large.gif
貶	2718		贬	biǎn	devalue	decrease, lower; censure, criticize	貶值	biǎnzhí	[sound:mp3/bian3.mp3]	2781	ㄅㄧㄢˇ	ㄅㄧㄢˇㄓˊ	['㇑', '㇕', '㇐', '㇐', '㇐', '㇒', '㇔', '㇒', '㇔', '㇇', '㇏']	Abbreviated form of 泛 cover + 貝 commodities | hold down the price of commodities | *devalue*; *depreciate* | *look down on*. 	images-large/8d2c-large.gif
裹	2719		裹	guǒ	envelop	wrap, bind; encircle, confine	包裹	bāoguǒ	[sound:mp3/guo3.mp3]	2782	ㄍㄨㄛˇ	ㄅㄠ ㄍㄨㄛˇ		As per 果# (round) + 衣 clothing | *wrap* (in cloth/clothing) | (wrapped) *package*. 	images-large/88f9-large.gif
朦	2720		朦	méng	dim	condition or appearance of moon			[sound:mp3/meng2.mp3]	2784	ㄇㄥˊ		['㇓', '㇆', '㇐', '㇐', '㇐', '㇑', '㇑', '㇔', '㇖', '㇐', '㇐', '㇒', '㇁', '㇒', '㇒', '㇒', '㇏']	As per 蒙# (cover/conceal) + 月 moon | *dimly visible moon*, hidden by cloud cover | *dim*; *hazy*; *obscure*. 	images-large/6726-large.gif
芽	2721		芽	yá	sprout	bud, sprout, shoot			[sound:mp3/ya2.mp3]	2785	ㄧㄚˊ		['㇐', '㇑', '㇑', '㇐', '㇗', '㇚', '㇒']	As per 牙# (mesh; cross) + 艸 grass/plant | buds that mesh | *bud* | *sprout*; *shoot* | *sign*; *beginnings*; *omen* (← buds, sprouts or shoots as harbingers of something new). 	images-large/82bd-large.gif
顫	2722		颤	chàn	tremble	shiver, tremble; trembling	顫抖	chàndǒu	[sound:mp3/chan4.mp3]	2788	ㄔㄢ`	ㄔㄢ`ㄉㄡˇ	['㇔', '㇐', '㇑', '㇕', '㇑', '㇕', '㇐', '㇐', '㇑', '㇕', '㇐', '㇐', '㇐', '㇐', '㇒', '㇑', '㇕', '㇐', '㇐', '㇐', '㇒', '㇔']	亶 here an abbreviated form# of 邅 (faltering movement) + 頁 head | faltering motion represented by *nodding* of the head | *tremble*; *shake*. Compare 震. 	images-large/98a4-large.gif
燥	2723		燥	zào	parched	dry, parched, arid; quick-tempered	乾燥	gānzào	[sound:mp3/zao4.mp3]	2790	ㄗㄠ`	ㄍㄢ ㄗㄠ`	['㇔', '㇒', '㇓', '㇔', '㇑', '㇕', '㇐', '㇑', '㇕', '㇐', '㇑', '㇕', '㇐', '㇐', '㇑', '㇒', '㇏']	As per 喿# as described in 操 (activity taking place above) + 火 fire | rising heat, that causes objects to *dry (up)* (compare 焦). 	images-large/71e5-large.gif
啞	2724		哑	yǎ	mute	dumb, mute; become hoarse	沙啞	shāyǎ	[sound:mp3/ya3.mp3]	2791	ㄧㄚˇ	ㄕㄚ ㄧㄚˇ	['㇑', '㇕', '㇐', '㇐', '㇑', '㇐', '㇞', '㇞', '㇐', '㇑', '㇐']	As per 亞# (downward pressure) + 口 mouth | blockage of the throat (compare 唉) | *mute*. 	images-large/54d1-large.gif
惰	2725		惰	duò	indolent	indolent, careless, lazy, idle	懶惰	lǎnduò	[sound:mp3/duo4.mp3]	2794	ㄉㄨㄛ`	ㄌㄢˇㄉㄨㄛ`		An abbreviated form# of 隋 (collapsing pile) + 心 heart/emotions | *laziness* (likened to partial emotional collapse). Compare 怠. 	images-large/60f0-large.gif
糧	2726		粮	liáng	provisions	food, grain, provisions	糧食	liángshi	[sound:mp3/liang2.mp3]	2796	ㄌㄧㄤˊ	ㄌㄧㄤˊㄕ˙	['㇔', '㇒', '㇐', '㇑', '㇒', '㇏', '㇑', '㇕', '㇐', '㇐', '㇐', '㇑', '㇕', '㇐', '㇐', '㇐', '㇑', '㇐']	As per 量# (measure grain) + 米 rice | measured rice | *food*; *provisions*; *nourishment*. 	images-large/7cae-large.gif
貸	2727		贷	dài	loan	lend; borrow; pardon	貸款 借貸	dàikuǎn jièdài	[sound:mp3/dai4.mp3]	2797	ㄉㄞ`	ㄉㄞ`ㄎㄨㄢˇ  ㄐㄧㄝ`ㄉㄞ`	['㇒', '㇑', '㇐', '㇂', '㇔', '㇑', '㇕', '㇐', '㇐', '㇐', '㇒', '㇔']	代# alternate + 貝 commodities | alternate ownership in lending/loaning | *lend*; *loan*; *rent* | *bill*. 	images-large/8d37-large.gif
噢	2728		噢	ō		moan; interjection for pain, sad			[sound:mp3/o1.mp3]	2801	ㄛ				images-large/5662-large.gif
齣	2729		出	chū	shows	act; stanza; time, occasion			[sound:mp3/chu1.mp3]	2802	ㄔㄨ		['㇑', '㇐', '㇑', '㇐', '㇓', '㇏', '㇓', '㇏', '㇐', '㇓', '㇏', '㇓', '㇏', '㇗', '㇑', '㇒', '㇆', '㇑', '㇕', '㇐']		images-large/51fa-large.gif
簿	2730		簿	bù	register	register, account book, notebook			[sound:mp3/bu4.mp3]	2804	ㄅㄨ`		['㇒', '㇐', '㇔', '㇒', '㇐', '㇔', '㇔', '㇔', '㇀', '㇐', '㇑', '㇆', '㇐', '㇐', '㇑', '㇔', '㇐', '㇚', '㇔']	As per 溥# (spread) + 竹 bamboo | strips of bamboo spread in record-keeping | *account book*; *register*. 	images-large/7c3f-large.gif
喘	2731		喘	chuǎn	wheeze	pant, gasp, breathe heavily			[sound:mp3/chuan3.mp3]	2805	ㄔㄨㄢˇ		['㇑', '㇕', '㇐', '㇑', '㇗', '㇑', '㇐', '㇒', '㇑', '㇆', '㇑', '㇑']	耑 here an abbreviated form# of 遄 quick + 口 mouth | *gasp*, *pant* or *breathe hard* (← quick intakes of breath). 	images-large/5598-large.gif
腥	2732		腥	xīng	fishy smell	raw meat; rank, strong-smelling			[sound:mp3/xing1.mp3]	2807	ㄒㄧㄥ		['㇓', '㇆', '㇐', '㇐', '㇑', '㇕', '㇐', '㇐', '㇒', '㇐', '㇐', '㇑', '㇐']	As per 星# (invigorating) + 肉 flesh | the pungent, invigorating *smell of raw meat* | *rank  odor* | *fishy*. 	images-large/8165-large.gif
敷	2733		敷	fū	apply	spread, diffuse; apply, paint	敷衍	fūyǎn	[sound:mp3/fu1.mp3]	2808	ㄈㄨ	ㄈㄨ ㄧㄢˇ	['㇐', '㇑', '㇆', '㇐', '㇐', '㇑', '㇔', '㇔', '㇐', '㇆', '㇓', '㇒', '㇐', '㇒', '㇏']	旉# combines 甫 (spread) + 方 (spread) | spread at length over a flat surface. 敷 adds 攵 action  indicator | *spread/lay* at length over a flat surface | *cover*; *pave*. Also, *set up* and *effectuate* (← cover existing gaps). 	images-large/6577-large.gif
悍	2734		悍	hàn	bold	courageous, brave; violent			[sound:mp3/han4.mp3]	2809	ㄏㄢ`		['㇔', '㇔', '㇑', '㇑', '㇕', '㇐', '㇐', '㇐', '㇐', '㇑']	旱# dry up (| be/become rough) + 心 heart/emotions | *rough*; *brutish* | *courageous*. Also, *strong*. 	images-large/608d-large.gif
僵	2735		僵	jiāng	stiff	stiff and motionless, stock still			[sound:mp3/jiang1.mp3]	2811	ㄐㄧㄤ		['㇒', '㇑', '㇐', '㇑', '㇕', '㇐', '㇑', '㇐', '㇐', '㇑', '㇕', '㇐', '㇑', '㇐', '㇐']	As per 畺# (tight; taut) + 人 person | *die and go stiff*; *rigor mortis*. For stiffening of the body compare 敬, and see also 殭 (effectively a variant form of 僵). 	images-large/50f5-large.gif
尷	2736		尴	gān	abashed	embarrassed; ill at ease	尷尬	gāngà	[sound:mp3/gan1.mp3]	2812	ㄍㄢ	ㄍㄢ ㄍㄚ`			images-large/5c34-large.gif
締	2737		缔	dì	conclude	tie, join, connect; connection	締結 締造 取締	dìjié dìzào qǔdì	[sound:mp3/di4.mp3]	2813	ㄉㄧ`	ㄉㄧ`ㄐㄧㄝˊ  ㄉㄧ`ㄗㄠ`  ㄑㄩˇㄉㄧ`	['㇜', '㇜', '㇔', '㇔', '㇔', '㇔', '㇔', '㇐', '㇔', '㇒', '㇔', '㇖', '㇑', '㇆', '㇑']	As per 帝# (unify) + 糸 thread | *bind* objects with thread | *tie*; *tighten*; *close*; *shut*; *fasten*; *turn off* | *firm*; *solid*; *control strictly*; *straighten (oneself) out* | *economize*; *be thrifty*. 	images-large/7f14-large.gif
紮	2738		扎	zā	bind	tie, fasten, bind			[sound:mp3/za1.mp3]	2815	ㄗㄚ		['㇐', '㇑', '㇒', '㇔', '㇟', '㇜', '㇜', '㇔', '㇚', '㇒', '㇔']	As per 札# (pin/nail in place) + 糸 thread | *fasten* in place by binding/tying with thread or rope | *bind*; *tie* (up). 	images-large/624e-large.gif
斧	2739		斧	fǔ	axe	axe, hatchet; chop, hew	斧頭	fǔtóu	[sound:mp3/fu3.mp3]	2816	ㄈㄨˇ	ㄈㄨˇㄊㄡˊ	['㇒', '㇔', '㇒', '㇏', '㇒', '㇓', '㇐', '㇑']	"As per 父# (hand spread over an ax handle) + 斤 ax | *ax*; *hatchet* | *chop*. 斧 was devised to replace 父 after 父 came to mean ""father."" "	images-large/65a7-large.gif
襟	2740		襟	jīn	front of a garment	lapel, collar			[sound:mp3/jin1.mp3]	2817	ㄐㄧㄣ		['㇔', '㇇', '㇑', '㇒', '㇔', '㇐', '㇑', '㇒', '㇔', '㇐', '㇑', '㇒', '㇏', '㇐', '㇐', '㇚', '㇒', '㇔']	As per 禁# (contain) + 衣 clothing | outer layer of clothing containing one beneath it | *collar*. Compare 衿. 	images-large/895f-large.gif
轄	2741		辖	xiá	administer	linchpin of wheel; control			[sound:mp3/xia2.mp3]	2818	ㄒㄧㄚˊ		['㇐', '㇑', '㇕', '㇐', '㇐', '㇐', '㇑', '㇔', '㇔', '㇖', '㇐', '㇐', '㇐', '㇑', '㇑', '㇕', '㇐']	As per 害# (cut) + 車 vehicle | linchpin (compare 舝 as described in 桀) cutting rotation of a wheel, allowing *control* of the vehicle's speed | *supervision*. For the connection between cutting and control, compare 乂. 	images-large/8f96-large.gif
鈍	2742		钝	dùn		blunt, obtuse; dull; flat; dull-witted	遲鈍	chídùn	[sound:mp3/dun4.mp3]	2820	ㄉㄨㄣ`	ㄔˊㄉㄨㄣ`	['㇒', '㇔', '㇐', '㇐', '㇑', '㇔', '㇒', '㇀', '㇐', '㇗', '㇑', '㇟']	As per 屯# (swollen) + 金 metal | metal with *dull* edges that swell outwards (as opposed to  being neatly sharpened) | *dim*; *dimwitted*; *slow* (of action) | *weak(en)*. 	images-large/949d-large.gif
腫	2743		肿	zhǒng	swollen	swell; swollen; swelling			[sound:mp3/zhong3.mp3]	2821	ㄓㄨㄥˇ		['㇓', '㇆', '㇐', '㇐', '㇒', '㇐', '㇑', '㇕', '㇐', '㇐', '㇐', '㇑', '㇐']	As per 重# (run through) + 肉 flesh | *swelling*; *swell*; *tumor* (← swellings, tumors etc. running all through the body). 	images-large/80bf-large.gif
蹲	2744		蹲	dūn	squat	squat, crouch; idle about			[sound:mp3/dun1.mp3]	2823	ㄉㄨㄣ		['㇑', '㇕', '㇐', '㇑', '㇐', '㇑', '㇀', '㇔', '㇒', '㇐', '㇑', '㇕', '㇓', '㇄', '㇐', '㇐', '㇐', '㇚', '㇔']	尊# settle + 足 leg/foot | settle into a *squat/crouch* (compare 踆). 	images-large/8e72-large.gif
嗜	2745		嗜	shì	hanker	be fond of, have weakness for	嗜好	shìhào	[sound:mp3/shi4.mp3]	2824	ㄕ`	ㄕ`ㄏㄠ`	['㇑', '㇕', '㇐', '㇐', '㇑', '㇐', '㇒', '㇒', '㇟', '㇑', '㇕', '㇐', '㇐']	As per 耆# (preserved food) + 口 mouth | *have a weakness/strong urging for* (preserved food or any other kind of product) | *like*; *prefer*. 嗜 was devised to replace 耆 after the latter's transformation of meanings. 	images-large/55dc-large.gif
逾	2746		逾	yú	exceed	go over, pass over, exceed			[sound:mp3/yu2.mp3]	2825	ㄩˊ		['㇒', '㇏', '㇐', '㇓', '㇆', '㇐', '㇐', '㇑', '㇚', '㇔', '㇕', '㇝']	兪# remove + 辵 movement | pass/cross over (← remove oneself to a different location) | *exceed* | *even more/further*. Compare 踰. 	images-large/903e-large.gif
瀑	2747		瀑	pù	waterfall	waterfall, cascade; heavy rain	瀑布	pùbù	[sound:mp3/pu4.mp3]	2826	ㄆㄨ`	ㄆㄨ`ㄅㄨ`	['㇔', '㇔', '㇀', '㇑', '㇕', '㇐', '㇐', '㇐', '㇑', '㇑', '㇐', '㇒', '㇔', '㇚', '㇇', '㇒', '㇏']	暴# expose + 水 water | *sudden downpour* that exposes objects. *Waterfall* is an associated meaning. 	images-large/7011-large.gif
罕	2748		罕	hǎn	rarely	rare, scarce; surname			[sound:mp3/han3.mp3]	2827	ㄏㄢˇ		['㇔', '㇖', '㇒', '㇝', '㇐', '㇐', '㇑']	干# thick bar + a variant form of 网 net | *long-handled bird-catching net* (compare 禽). *Rare* is a borrowed meaning. 	images-large/7f55-large.gif
癒	2749		癒	yù	get well	get well, recover			[sound:mp3/yu4.mp3]	2828	ㄩ`		['㇔', '㇐', '㇓', '㇔', '㇀', '㇒', '㇏', '㇐', '㇓', '㇆', '㇐', '㇐', '㇑', '㇚', '㇔', '㇃', '㇔', '㇔']	愈# heal + 疒 illness (for emphasis/clarification) | *healing*; *cure*. 	images-large/7652-large.gif
碌	2750		碌	lù	commonplace	rough, uneven, rocky; mediocre	忙碌	mánglù	[sound:mp3/lu4.mp3]	2829	ㄌㄨ`	ㄇㄤˊㄌㄨ`	['㇐', '㇒', '㇑', '㇕', '㇐', '㇕', '㇐', '㇐', '㇚', '㇔', '㇀', '㇒', '㇔']	As per 彔# (scatter right and left) + 石 stone | *the sound of stones tumbling over each other* as they scatter. Japanese has many borrowed meanings attached to the terms ろくな and ろくに; in modern orthography 碌 is not used in these cases. 	images-large/788c-large.gif
